ZR7785529,F94567,4B
SZ7298740,SY1399,7C
ZP2133193,AS6049,12E
GU4912519,UA8195,10D
EA1433344,SY6295,27D
MU2928795,SY1452,19E
RN7185956,G47009,4C
ME4924684,G42389,16A
RJ3021683,SY1530,7D
OI0272227,WN6797,4A
XV6958677,DL4036,19A
KE4092204,F96234,12F
EK9747913,AA3643,5D
LB3584028,SY1321,22F
DN2409029,UA9503,8E
ZU2687831,SY8644,14F
HM6525998,AA8867,23B
JW5277124,SY2874,25A
NX0216351,AS6184,1B
NP2490747,G49033,23A
WY6376268,B69341,21F
MO9264791,WN1157,5F
HW6330162,AA5506,4B
YO8064537,NK3308,30A
EK8995406,NK8004,19D
KB4917346,B68668,30B
NV2186254,B66843,12F
TL5438735,NK8885,25D
TK0067240,DL3774,17B
II2080405,SY6939,16B
BP0265494,AA5506,6A
TI8300461,B68900,24A
CO7613382,WN7682,15B
TR0342851,AS8147,11F
CZ0153790,AA6881,8B
RU7822884,UA3976,15D
HX6705543,SY5698,14B
CT6310898,NK3844,27D
EO0548861,F91909,26F
GH2726280,UA7693,14F
ZZ2570152,AS6531,14F
EC3855846,UA4574,3B
QE0592540,DL4281,26D
MB5485761,NK8277,11B
IE2850475,F96107,24A
KR3663616,NK3606,12C
CX9927163,WN1816,6A
RD7006129,B67643,12C
CP5036719,SY9733,15B
FY9035856,F92686,2C
BQ3289123,WN9737,28F
PI3282495,AS2777,10E
DY5033974,G42324,24A
HU2571930,NK4814,4F
MK7495655,B62882,14A
JY0474993,SY1075,17E
YO9365092,B69341,13F
DR9678322,AA4159,9D
VL1489997,F92521,4D
MB3021360,WN6037,6C
IF1095141,NK1934,2B
YH2467104,G47293,25D
MH9026374,G46214,17F
VC5274138,DL2287,8F
QY7606033,SY2658,9E
ZX0401910,DL8211,13D
NE2404173,WN8320,14D
RY9218512,SY2658,30B
FM8497269,AS2376,29C
RZ9869009,AA3427,23C
PA2227018,AS9177,21D
XY0574575,B66455,7D
CX5600861,F92494,6C
OU6108778,AA6063,8C
NI4568173,DL3704,3D
QE2506696,NK2675,3E
FF0055430,WN6037,21C
HG5693762,NK3153,17A
ND3611257,G43627,19E
YZ5077156,UA8933,21D
QQ3113379,NK4964,12D
CT6310898,DL4739,6F
IL6166338,UA2888,8A
KM5488200,B66047,17C
YP2578069,G42389,30C
YF0345128,AA9721,19A
SB0296547,WN6037,22C
LN6217530,B64790,24D
GD4282332,UA2306,8B
GV5569769,WN7314,21A
KR8749572,F97422,12E
UU4234097,DL5973,1A
BO2162688,B61065,15B
RH6122227,NK3795,19A
WQ3552344,G49169,3F
LV1144553,DL6215,5F
ZK8138139,WN1479,18C
BC8148074,F94628,5B
IV5129355,DL4739,28D
EL1482861,AS6049,18A
LH8005525,G49849,30A
JQ9689770,AA8894,25D
NF4934146,UA1599,18D
LK7593273,F95736,26C
XZ7315800,AA8768,5F
GT8208858,AS9177,14C
QQ9704810,SY4732,11E
BO1342118,B62915,4C
ME2491142,G49193,19E
JC0899921,B67431,6A
MF0042521,F96434,5D
JY7856218,AS2394,24B
YM4198277,NK6450,23D
PV5322767,NK4468,20B
PM8878310,AA7410,25F
PD8837503,AA1020,28E
CX5600861,AS6531,23E
PM2454105,DL8556,20E
WT8727983,AA9721,18B
IM8846802,WN6626,14D
TT3055444,SY6915,30D
AH6115263,DL5973,8A
LE2540637,F93517,4A
SI5334185,F93032,1A
OT7117542,WN7830,30F
SV1415094,G44923,20A
HN6515025,F96872,1A
SE2374500,DL7735,9B
DK7405775,SY2914,21B
NM0927770,NK7347,3A
TH8921418,G45339,7C
RF8553344,SY3251,15A
DE5698065,F98339,22F
ZO3782815,AA7717,13E
JW4465288,DL5422,4B
AI3809178,WN3073,18C
ZR0007391,G41446,18A
CH6732097,SY9876,15D
QG9569800,SY1075,13F
OQ5783831,G48357,16F
AK5554315,NK4964,22A
CU2362839,NK2099,5E
NT4730385,F97552,9E
PJ4346704,F99400,14F
SD4855100,UA5473,26D
RD4472904,DL2546,16F
XO5167940,NK6450,16E
GD4282332,G42213,15F
SC0925030,B66002,6A
VG9153613,DL7755,28B
BN6760684,SY1748,7C
HF0326370,F98742,13D
GF0960768,AA9721,18E
VT3772435,UA7831,4F
DV1300372,F91153,20E
CF6536276,WN7322,1B
LF5367225,G42213,3B
IP2962210,SY2047,1E
EY4422409,G47754,28D
DJ7330636,F97500,23D
UM8088485,NK8277,17B
DG2707562,DL7051,9F
XN5698310,UA1919,4A
MK7495655,WN1155,14F
MX8335829,NK5912,20B
KE9865440,B65536,14B
VC2556700,DL7735,13A
MG7067856,F97348,3A
ZE6436983,DL3774,1E
XT8846527,F96556,29F
IF3822509,UA2306,23C
WH6127585,G42213,19C
NF0117291,AA8642,9A
FW7194107,UA7097,9D
TN2815472,UA9465,21F
SE9446561,G48864,7C
DS7584159,DL6094,14B
RB5666749,DL3774,8E
AC2249671,F92816,21A
JF2186677,NK2993,30F
FI1512815,DL3882,13A
KG3082122,F96234,2C
LD6036511,AS2256,28C
QH0142318,AA7189,17C
DT4942888,UA6424,1E
ME7779493,F95813,19C
